nom;prenom;email;disponibilite;distinction;moyenne;recrute
Muyisa;Kavalami;muy@gmail.com;1;0;17,02380952;0
WWW;WWW;WWW;0;1;17,21428571;0
JDJJD;JSJSJ;KSKSK;0;0;17,4047619;0
SIIS;JDDJ;OOW;1;1;17,5952381;0
JJJ;KKK;DJDD;1;0;17,78571429;0
Muyisa;Kavalami;muy@gmail.com;0;1;17,97619048;0
WWW;WWW;WWW;0;0;18,16666667;0
JDJJD;JSJSJ;KSKSK;1;1;18,35714286;0
SIIS;JDDJ;OOW;1;0;18,54761905;0
JJJ;KKK;DJDD;0;1;18,73809524;0
Muyisa;Kavalami;muy@gmail.com;0;0;18,92857143;0
WWW;WWW;WWW;1;1;19,11904762;0
JDJJD;JSJSJ;KSKSK;1;0;19,30952381;0
SIIS;JDDJ;OOW;0;1;19,5;0
JJJ;KKK;DJDD;0;0;19,69047619;0
Muyisa;Kavalami;muy@gmail.com;1;1;19,88095238;0
WWW;WWW;WWW;1;0;20,07142857;0
JDJJD;JSJSJ;KSKSK;0;1;20,26190476;0
SIIS;JDDJ;OOW;0;0;20,45238095;0
JJJ;KKK;DJDD;1;1;20,64285714;0
Muyisa;Kavalami;muy@gmail.com;1;0;20,83333333;0
WWW;WWW;WWW;0;1;21,02380952;0
JDJJD;JSJSJ;KSKSK;0;0;21,21428571;0
SIIS;JDDJ;OOW;1;1;21,4047619;0
JJJ;KKK;DJDD;1;0;21,5952381;0
Muyisa;Kavalami;muy@gmail.com;0;1;21,78571429;0
WWW;WWW;WWW;0;0;21,97619048;0
JDJJD;JSJSJ;KSKSK;1;1;22,16666667;0
SIIS;JDDJ;OOW;1;0;22,35714286;0
JJJ;KKK;DJDD;0;1;22,54761905;0
Muyisa;Kavalami;muy@gmail.com;0;0;22,73809524;0
WWW;WWW;WWW;1;1;22,92857143;0
JDJJD;JSJSJ;KSKSK;1;0;23,11904762;0
SIIS;JDDJ;OOW;0;1;23,30952381;0
JJJ;KKK;DJDD;0;0;23,5;0
Muyisa;Kavalami;muy@gmail.com;1;1;23,69047619;0
WWW;WWW;WWW;1;0;23,88095238;0
JDJJD;JSJSJ;KSKSK;0;1;24,07142857;0
SIIS;JDDJ;OOW;0;0;24,26190476;0
JJJ;KKK;DJDD;1;1;24,45238095;0
Muyisa;Kavalami;muy@gmail.com;1;0;24,64285714;0
WWW;WWW;WWW;0;1;24,83333333;0
JDJJD;JSJSJ;KSKSK;0;0;25,02380952;0
SIIS;JDDJ;OOW;1;1;25,21428571;0
JJJ;KKK;DJDD;1;0;25,4047619;0
Muyisa;Kavalami;muy@gmail.com;0;1;25,5952381;0
WWW;WWW;WWW;0;0;25,78571429;0
JDJJD;JSJSJ;KSKSK;1;1;25,97619048;0
SIIS;JDDJ;OOW;1;0;26,16666667;0
JJJ;KKK;DJDD;0;1;26,35714286;0
Muyisa;Kavalami;muy@gmail.com;0;0;26,54761905;0
WWW;WWW;WWW;1;1;26,73809524;0
JDJJD;JSJSJ;KSKSK;1;0;26,92857143;0
SIIS;JDDJ;OOW;0;1;27,11904762;0
JJJ;KKK;DJDD;0;0;27,30952381;0
Muyisa;Kavalami;muy@gmail.com;1;1;27,5;0
WWW;WWW;WWW;1;0;27,69047619;0
JDJJD;JSJSJ;KSKSK;0;1;27,88095238;0
SIIS;JDDJ;OOW;0;0;28,07142857;0
JJJ;KKK;DJDD;1;1;28,26190476;0
Muyisa;Kavalami;muy@gmail.com;1;0;28,45238095;0
WWW;WWW;WWW;0;1;28,64285714;0
JDJJD;JSJSJ;KSKSK;0;0;28,83333333;0
SIIS;JDDJ;OOW;1;1;29,02380952;0
JJJ;KKK;DJDD;1;0;29,21428571;0
Muyisa;Kavalami;muy@gmail.com;0;1;29,4047619;0
WWW;WWW;WWW;0;0;29,5952381;0
JDJJD;JSJSJ;KSKSK;1;1;29,78571429;0
SIIS;JDDJ;OOW;1;0;29,97619048;0
JJJ;KKK;DJDD;0;1;30,16666667;0
Muyisa;Kavalami;muy@gmail.com;0;0;30,35714286;0
WWW;WWW;WWW;1;1;30,54761905;0
JDJJD;JSJSJ;KSKSK;1;0;30,73809524;0
SIIS;JDDJ;OOW;0;1;30,92857143;0
JJJ;KKK;DJDD;0;0;31,11904762;0
Muyisa;Kavalami;muy@gmail.com;1;1;31,30952381;0
WWW;WWW;WWW;1;0;31,5;0
JDJJD;JSJSJ;KSKSK;0;1;31,69047619;0
SIIS;JDDJ;OOW;0;0;31,88095238;0
JJJ;KKK;DJDD;1;1;32,07142857;0
Muyisa;Kavalami;muy@gmail.com;1;0;32,26190476;0
WWW;WWW;WWW;0;1;32,45238095;0
JDJJD;JSJSJ;KSKSK;0;0;32,64285714;0
SIIS;JDDJ;OOW;1;1;32,83333333;0
JJJ;KKK;DJDD;1;0;33,02380952;0
Muyisa;Kavalami;muy@gmail.com;0;1;33,21428571;0
WWW;WWW;WWW;0;0;33,4047619;0
JDJJD;JSJSJ;KSKSK;1;1;33,5952381;0
SIIS;JDDJ;OOW;1;0;33,78571429;0
JJJ;KKK;DJDD;0;1;33,97619048;0
Muyisa;Kavalami;muy@gmail.com;0;0;34,16666667;0
WWW;WWW;WWW;1;1;34,35714286;0
JDJJD;JSJSJ;KSKSK;1;0;34,54761905;0
SIIS;JDDJ;OOW;0;1;34,73809524;0
JJJ;KKK;DJDD;0;0;34,92857143;0
Muyisa;Kavalami;muy@gmail.com;1;1;35,11904762;0
WWW;WWW;WWW;1;0;35,30952381;0
JDJJD;JSJSJ;KSKSK;0;1;35,5;0
SIIS;JDDJ;OOW;0;0;35,69047619;0
JJJ;KKK;DJDD;1;1;35,88095238;0
Muyisa;Kavalami;muy@gmail.com;1;0;36,07142857;0
WWW;WWW;WWW;0;1;36,26190476;0
JDJJD;JSJSJ;KSKSK;0;0;36,45238095;0
SIIS;JDDJ;OOW;1;1;36,64285714;0
JJJ;KKK;DJDD;1;0;36,83333333;0
Muyisa;Kavalami;muy@gmail.com;0;1;37,02380952;0
WWW;WWW;WWW;0;0;37,21428571;0
JDJJD;JSJSJ;KSKSK;1;1;37,4047619;0
SIIS;JDDJ;OOW;1;0;37,5952381;0
JJJ;KKK;DJDD;0;1;37,78571429;0
Muyisa;Kavalami;muy@gmail.com;0;0;37,97619048;0
WWW;WWW;WWW;1;1;38,16666667;0
JDJJD;JSJSJ;KSKSK;1;0;38,35714286;0
SIIS;JDDJ;OOW;0;1;38,54761905;0
JJJ;KKK;DJDD;0;0;38,73809524;0
Muyisa;Kavalami;muy@gmail.com;1;1;38,92857143;0
WWW;WWW;WWW;1;0;39,11904762;0
JDJJD;JSJSJ;KSKSK;0;1;39,30952381;0
SIIS;JDDJ;OOW;0;0;39,5;0
JJJ;KKK;DJDD;1;1;39,69047619;0
Muyisa;Kavalami;muy@gmail.com;1;0;39,88095238;0
WWW;WWW;WWW;0;1;40,07142857;0
JDJJD;JSJSJ;KSKSK;0;0;40,26190476;0
SIIS;JDDJ;OOW;1;1;40,45238095;0
JJJ;KKK;DJDD;1;0;40,64285714;0
Muyisa;Kavalami;muy@gmail.com;0;1;40,83333333;0
WWW;WWW;WWW;0;0;41,02380952;0
JDJJD;JSJSJ;KSKSK;1;1;41,21428571;0
SIIS;JDDJ;OOW;1;0;41,4047619;0
JJJ;KKK;DJDD;0;1;41,5952381;0
Muyisa;Kavalami;muy@gmail.com;0;0;41,78571429;0
WWW;WWW;WWW;1;1;41,97619048;0
JDJJD;JSJSJ;KSKSK;1;0;42,16666667;0
SIIS;JDDJ;OOW;0;1;42,35714286;0
JJJ;KKK;DJDD;0;0;42,54761905;0
Muyisa;Kavalami;muy@gmail.com;1;1;42,73809524;0
WWW;WWW;WWW;1;0;42,92857143;0
JDJJD;JSJSJ;KSKSK;0;1;43,11904762;0
SIIS;JDDJ;OOW;0;0;43,30952381;0
JJJ;KKK;DJDD;1;1;43,5;0
Muyisa;Kavalami;muy@gmail.com;1;0;43,69047619;0
WWW;WWW;WWW;0;1;43,88095238;0
JDJJD;JSJSJ;KSKSK;0;0;44,07142857;0
SIIS;JDDJ;OOW;1;1;44,26190476;0
JJJ;KKK;DJDD;1;0;44,45238095;0
Muyisa;Kavalami;muy@gmail.com;0;1;44,64285714;0
WWW;WWW;WWW;0;0;44,83333333;0
JDJJD;JSJSJ;KSKSK;1;1;45,02380952;0
SIIS;JDDJ;OOW;1;0;45,21428571;0
JJJ;KKK;DJDD;0;1;45,4047619;0
Muyisa;Kavalami;muy@gmail.com;0;0;45,5952381;0
WWW;WWW;WWW;1;1;45,78571429;0
JDJJD;JSJSJ;KSKSK;1;0;45,97619048;0
SIIS;JDDJ;OOW;0;1;46,16666667;0
JJJ;KKK;DJDD;0;0;46,35714286;0
Muyisa;Kavalami;muy@gmail.com;1;1;46,54761905;0
WWW;WWW;WWW;1;0;46,73809524;0
JDJJD;JSJSJ;KSKSK;0;1;46,92857143;0
SIIS;JDDJ;OOW;0;0;47,11904762;0
JJJ;KKK;DJDD;1;1;47,30952381;0
Muyisa;Kavalami;muy@gmail.com;1;0;47,5;0
WWW;WWW;WWW;0;1;47,69047619;0
JDJJD;JSJSJ;KSKSK;0;0;47,88095238;0
SIIS;JDDJ;OOW;1;1;48,07142857;0
JJJ;KKK;DJDD;1;0;48,26190476;0
Muyisa;Kavalami;muy@gmail.com;0;1;48,45238095;0
WWW;WWW;WWW;0;0;48,64285714;0
JDJJD;JSJSJ;KSKSK;1;1;48,83333333;0
SIIS;JDDJ;OOW;1;0;49,02380952;0
JJJ;KKK;DJDD;0;1;49,21428571;0
Muyisa;Kavalami;muy@gmail.com;0;0;49,4047619;0
WWW;WWW;WWW;1;1;49,5952381;0
JDJJD;JSJSJ;KSKSK;1;0;49,78571429;0
SIIS;JDDJ;OOW;0;1;49,97619048;0
JJJ;KKK;DJDD;0;0;50,16666667;0
Muyisa;Kavalami;muy@gmail.com;1;1;50,35714286;0
WWW;WWW;WWW;1;0;50,54761905;0
JDJJD;JSJSJ;KSKSK;0;1;50,73809524;0
SIIS;JDDJ;OOW;0;0;50,92857143;0
JJJ;KKK;DJDD;1;1;51,11904762;0
Muyisa;Kavalami;muy@gmail.com;1;0;51,30952381;0
WWW;WWW;WWW;0;1;51,5;0
JDJJD;JSJSJ;KSKSK;0;0;51,69047619;0
SIIS;JDDJ;OOW;1;1;51,88095238;0
JJJ;KKK;DJDD;1;0;52,07142857;0
Muyisa;Kavalami;muy@gmail.com;0;1;52,26190476;0
WWW;WWW;WWW;0;0;52,45238095;0
JDJJD;JSJSJ;KSKSK;1;1;52,64285714;0
SIIS;JDDJ;OOW;1;0;52,83333333;0
JJJ;KKK;DJDD;0;1;53,02380952;0
Muyisa;Kavalami;muy@gmail.com;0;0;53,21428571;0
WWW;WWW;WWW;1;1;53,4047619;0
JDJJD;JSJSJ;KSKSK;1;0;53,5952381;0
SIIS;JDDJ;OOW;0;1;53,78571429;0
JJJ;KKK;DJDD;0;0;53,97619048;0
Muyisa;Kavalami;muy@gmail.com;1;1;54,16666667;0
WWW;WWW;WWW;1;0;54,35714286;0
JDJJD;JSJSJ;KSKSK;0;1;54,54761905;0
SIIS;JDDJ;OOW;0;0;54,73809524;0
JJJ;KKK;DJDD;1;1;54,92857143;0
Muyisa;Kavalami;muy@gmail.com;1;0;55,11904762;0
WWW;WWW;WWW;0;1;55,30952381;0
JDJJD;JSJSJ;KSKSK;0;0;55,5;0
SIIS;JDDJ;OOW;1;1;55,69047619;0
JJJ;KKK;DJDD;1;0;55,88095238;0
Muyisa;Kavalami;muy@gmail.com;0;1;56,07142857;0
WWW;WWW;WWW;0;0;56,26190476;0
JDJJD;JSJSJ;KSKSK;1;1;56,45238095;0
SIIS;JDDJ;OOW;1;0;56,64285714;0
JJJ;KKK;DJDD;0;1;56,83333333;0
Muyisa;Kavalami;muy@gmail.com;0;0;57,02380952;0
WWW;WWW;WWW;1;1;57,21428571;0
JDJJD;JSJSJ;KSKSK;1;0;57,4047619;0
SIIS;JDDJ;OOW;0;1;57,5952381;0
JJJ;KKK;DJDD;0;0;57,78571429;0
Muyisa;Kavalami;muy@gmail.com;1;1;57,97619048;0
WWW;WWW;WWW;1;0;58,16666667;0
JDJJD;JSJSJ;KSKSK;0;1;58,35714286;0
SIIS;JDDJ;OOW;0;0;58,54761905;0
JJJ;KKK;DJDD;1;1;58,73809524;0
Muyisa;Kavalami;muy@gmail.com;1;0;58,92857143;0
WWW;WWW;WWW;0;1;59,11904762;0
JDJJD;JSJSJ;KSKSK;0;0;59,30952381;0
SIIS;JDDJ;OOW;1;1;59,5;0
JJJ;KKK;DJDD;1;0;59,69047619;0
Muyisa;Kavalami;muy@gmail.com;0;1;59,88095238;0
WWW;WWW;WWW;0;0;60,07142857;0
JDJJD;JSJSJ;KSKSK;1;1;60,26190476;0
SIIS;JDDJ;OOW;1;0;60,45238095;0
JJJ;KKK;DJDD;0;1;60,64285714;0
Muyisa;Kavalami;muy@gmail.com;0;0;60,83333333;0
WWW;WWW;WWW;1;1;61,02380952;0
JDJJD;JSJSJ;KSKSK;1;0;61,21428571;0
SIIS;JDDJ;OOW;0;1;61,4047619;0
JJJ;KKK;DJDD;0;0;61,5952381;0
Muyisa;Kavalami;muy@gmail.com;1;1;61,78571429;0
WWW;WWW;WWW;1;0;61,97619048;0
JDJJD;JSJSJ;KSKSK;0;1;62,16666667;0
SIIS;JDDJ;OOW;0;0;62,35714286;0
JJJ;KKK;DJDD;1;1;62,54761905;0
Muyisa;Kavalami;muy@gmail.com;1;0;62,73809524;0
WWW;WWW;WWW;0;1;62,92857143;0
JDJJD;JSJSJ;KSKSK;0;0;63,11904762;0
SIIS;JDDJ;OOW;1;1;63,30952381;0
JJJ;KKK;DJDD;1;0;63,5;0
Muyisa;Kavalami;muy@gmail.com;0;1;63,69047619;0
WWW;WWW;WWW;0;0;63,88095238;0
JDJJD;JSJSJ;KSKSK;1;1;64,07142857;0
SIIS;JDDJ;OOW;1;0;64,26190476;0
JJJ;KKK;DJDD;0;1;64,45238095;0
Muyisa;Kavalami;muy@gmail.com;0;0;64,64285714;0
WWW;WWW;WWW;1;1;64,83333333;0
JDJJD;JSJSJ;KSKSK;1;0;64,83333333;0
SIIS;JDDJ;OOW;0;1;64,8334;0
JJJ;KKK;DJDD;0;0;64,83346667;0
Muyisa;Kavalami;muy@gmail.com;1;1;64,83353333;0
WWW;WWW;WWW;1;0;64,8336;0
JDJJD;JSJSJ;KSKSK;0;1;64,83366667;0
SIIS;JDDJ;OOW;0;0;64,83373333;0
JJJ;KKK;DJDD;1;1;64,8338;0
Muyisa;Kavalami;muy@gmail.com;1;0;64,83386667;0
WWW;WWW;WWW;0;1;64,83393333;0
JDJJD;JSJSJ;KSKSK;0;0;64,834;0
SIIS;JDDJ;OOW;1;1;64,83406667;0
JJJ;KKK;DJDD;1;0;64,83413333;0
Muyisa;Kavalami;muy@gmail.com;0;1;64,8342;0
WWW;WWW;WWW;0;0;64,83426667;0
JDJJD;JSJSJ;KSKSK;1;1;64,83433333;0
SIIS;JDDJ;OOW;1;0;64,8344;0
JJJ;KKK;DJDD;0;1;64,83446667;0
Muyisa;Kavalami;muy@gmail.com;0;0;64,84;0
WWW;WWW;WWW;1;1;64,84553333;0
JDJJD;JSJSJ;KSKSK;1;0;64,85106667;0
SIIS;JDDJ;OOW;0;1;64,8566;0
JJJ;KKK;DJDD;0;0;64,86213333;0
Muyisa;Kavalami;muy@gmail.com;1;1;64,86766667;0
WWW;WWW;WWW;1;0;64,8732;0
JDJJD;JSJSJ;KSKSK;0;1;64,87873333;0
SIIS;JDDJ;OOW;0;0;64,88426667;0
JJJ;KKK;DJDD;1;1;64,8898;0
Muyisa;Kavalami;muy@gmail.com;1;0;64,89533333;0
WWW;WWW;WWW;0;1;64,90086667;0
JDJJD;JSJSJ;KSKSK;0;0;64,9064;0
SIIS;JDDJ;OOW;1;1;64,91193333;0
JJJ;KKK;DJDD;1;0;64,91746667;0
Muyisa;Kavalami;muy@gmail.com;0;1;64,923;0
WWW;WWW;WWW;0;0;64,92853333;0
JDJJD;JSJSJ;KSKSK;1;1;64,93406667;0
SIIS;JDDJ;OOW;1;0;64,9396;0
JJJ;KKK;DJDD;0;1;64,94513333;0
Muyisa;Kavalami;muy@gmail.com;0;0;64,95066667;0
WWW;WWW;WWW;1;1;64,9562;0
JDJJD;JSJSJ;KSKSK;1;0;64,96173333;0
SIIS;JDDJ;OOW;0;1;64,96726667;0
JJJ;KKK;DJDD;0;0;64,9728;0
Muyisa;Kavalami;muy@gmail.com;1;1;64,97833333;0
WWW;WWW;WWW;1;0;64,98386667;0
JDJJD;JSJSJ;KSKSK;0;1;64,9894;0
SIIS;JDDJ;OOW;0;0;64,99493333;0
JJJ;KKK;DJDD;1;1;65;1
Muyisa;Kavalami;muy@gmail.com;1;0;65,1;1
WWW;WWW;WWW;0;1;65,2;0
JDJJD;JSJSJ;KSKSK;0;0;65,3;0
SIIS;JDDJ;OOW;1;1;65,4;1
JJJ;KKK;DJDD;1;0;65,5;1
Muyisa;Kavalami;muy@gmail.com;0;1;65,6;0
WWW;WWW;WWW;0;0;65,7;0
JDJJD;JSJSJ;KSKSK;1;1;65,8;1
SIIS;JDDJ;OOW;1;0;65,9;1
JJJ;KKK;DJDD;0;1;66;0
Muyisa;Kavalami;muy@gmail.com;0;0;66,1;0
WWW;WWW;WWW;1;1;66,2;1
JDJJD;JSJSJ;KSKSK;1;0;66,3;1
SIIS;JDDJ;OOW;0;1;66,4;0
JJJ;KKK;DJDD;0;0;66,5;0
SIIS;JDDJ;OOW;1;1;66,6;1
JJJ;KKK;DJDD;1;0;66,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;66,8;0
WWW;WWW;WWW;0;0;66,9;0
JDJJD;JSJSJ;KSKSK;1;1;67;1
SIIS;JDDJ;OOW;1;0;67,1;1
JJJ;KKK;DJDD;0;1;67,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;67,3;0
WWW;WWW;WWW;1;1;67,4;1
JDJJD;JSJSJ;KSKSK;1;0;67,5;1
SIIS;JDDJ;OOW;0;1;67,6;0
JJJ;KKK;DJDD;0;0;67,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;67,8;1
WWW;WWW;WWW;1;0;67,9;1
JDJJD;JSJSJ;KSKSK;0;1;68;0
SIIS;JDDJ;OOW;0;0;68,1;0
JJJ;KKK;DJDD;1;1;68,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;68,3;1
WWW;WWW;WWW;0;1;68,4;0
JDJJD;JSJSJ;KSKSK;0;0;68,5;0
SIIS;JDDJ;OOW;1;1;68,6;1
JJJ;KKK;DJDD;1;0;68,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;68,8;0
WWW;WWW;WWW;0;0;68,9;0
JDJJD;JSJSJ;KSKSK;1;1;69;1
SIIS;JDDJ;OOW;1;0;69,1;1
JJJ;KKK;DJDD;0;1;69,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;69,3;0
WWW;WWW;WWW;1;1;69,4;1
JDJJD;JSJSJ;KSKSK;1;0;69,5;1
SIIS;JDDJ;OOW;0;1;69,6;0
JJJ;KKK;DJDD;0;0;69,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;69,8;1
WWW;WWW;WWW;1;0;69,9;1
JDJJD;JSJSJ;KSKSK;0;1;70;0
SIIS;JDDJ;OOW;0;0;70,1;0
JJJ;KKK;DJDD;1;1;70,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;70,3;1
WWW;WWW;WWW;0;1;70,4;0
JDJJD;JSJSJ;KSKSK;0;0;70,5;0
SIIS;JDDJ;OOW;1;1;70,6;1
JJJ;KKK;DJDD;1;0;70,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;70,8;0
WWW;WWW;WWW;0;0;70,9;0
JDJJD;JSJSJ;KSKSK;1;1;71;1
SIIS;JDDJ;OOW;1;0;71,1;1
JJJ;KKK;DJDD;0;1;71,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;71,3;0
WWW;WWW;WWW;1;1;71,4;1
JDJJD;JSJSJ;KSKSK;1;0;71,5;1
SIIS;JDDJ;OOW;0;1;71,6;0
JJJ;KKK;DJDD;0;0;71,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;71,8;1
WWW;WWW;WWW;1;0;71,9;1
JDJJD;JSJSJ;KSKSK;0;1;72;0
SIIS;JDDJ;OOW;0;0;72,1;0
JJJ;KKK;DJDD;1;1;72,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;72,3;1
WWW;WWW;WWW;0;1;72,4;0
JDJJD;JSJSJ;KSKSK;0;0;72,5;0
SIIS;JDDJ;OOW;1;1;72,6;1
JJJ;KKK;DJDD;1;0;72,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;72,8;0
WWW;WWW;WWW;0;0;72,9;0
JDJJD;JSJSJ;KSKSK;1;1;73;1
SIIS;JDDJ;OOW;1;0;73,1;1
JJJ;KKK;DJDD;0;1;73,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;73,3;0
WWW;WWW;WWW;1;1;73,4;1
JDJJD;JSJSJ;KSKSK;1;0;73,5;1
SIIS;JDDJ;OOW;0;1;73,6;0
JJJ;KKK;DJDD;0;0;73,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;73,8;1
WWW;WWW;WWW;1;0;73,9;1
JDJJD;JSJSJ;KSKSK;0;1;74;0
SIIS;JDDJ;OOW;0;0;74,1;0
JJJ;KKK;DJDD;1;1;74,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;74,3;1
WWW;WWW;WWW;0;1;74,4;0
JDJJD;JSJSJ;KSKSK;0;0;74,5;0
SIIS;JDDJ;OOW;1;1;74,6;1
JJJ;KKK;DJDD;1;0;74,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;74,8;0
WWW;WWW;WWW;0;0;74,9;0
JDJJD;JSJSJ;KSKSK;1;1;75;1
SIIS;JDDJ;OOW;1;0;75,1;1
JJJ;KKK;DJDD;0;1;75,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;75,3;0
WWW;WWW;WWW;1;1;75,4;1
JDJJD;JSJSJ;KSKSK;1;0;75,5;1
SIIS;JDDJ;OOW;0;1;75,6;0
JJJ;KKK;DJDD;0;0;75,7;0
Muyisa;Kavalami;muy@gmail.com;1;1;75,8;1
WWW;WWW;WWW;1;0;75,9;1
JDJJD;JSJSJ;KSKSK;0;1;76;0
SIIS;JDDJ;OOW;0;0;76,1;0
JJJ;KKK;DJDD;1;1;76,2;1
Muyisa;Kavalami;muy@gmail.com;1;0;76,3;1
WWW;WWW;WWW;0;1;76,4;0
JDJJD;JSJSJ;KSKSK;0;0;76,5;0
SIIS;JDDJ;OOW;1;1;76,6;1
JJJ;KKK;DJDD;1;0;76,7;1
Muyisa;Kavalami;muy@gmail.com;0;1;76,8;0
WWW;WWW;WWW;0;0;76,9;0
JDJJD;JSJSJ;KSKSK;1;1;77;1
SIIS;JDDJ;OOW;1;0;77,1;1
JJJ;KKK;DJDD;0;1;77,2;0
Muyisa;Kavalami;muy@gmail.com;0;0;77,3;0
WWW;WWW;WWW;1;1;77,4;1
JDJJD;JSJSJ;KSKSK;1;0;77,5;1
